COUNTRY,DATE,GROUP,COVID_VACCINE_ADM_1D,COVID_VACCINE_COV_1D,POPULATION,QUARTER,YEAR
AFG,2024-04-01,ad_chronic,12945.000000000,,,1,2024
AND,2024-04-01,ad_chronic,29.000000000,,,1,2024
AND,2024-07-01,ad_chronic,61.000000000,,,2,2024
ARG,2024-04-01,ad_chronic,205724.000000000,,,1,2024
ARG,2024-07-01,ad_chronic,156644.000000000,,,2,2024
BLR,2024-04-01,ad_chronic,296.000000000,,,1,2024
BLZ,2024-04-01,ad_chronic,0.000000000,,,1,2024
BLZ,2024-07-01,ad_chronic,0.000000000,,,2,2024
BRA,2024-04-01,ad_chronic,2141.000000000,,,1,2024
BTN,2024-04-01,ad_chronic,0.000000000,,,1,2024
CHL,2024-04-01,ad_chronic,93540.000000000,,,1,2024
CIV,2024-04-01,ad_chronic,1354.000000000,,,1,2024
CYP,2024-07-01,ad_chronic,47.000000000,,,2,2024
CZE,2024-04-01,ad_chronic,2112.000000000,,,1,2024
CZE,2024-07-01,ad_chronic,2354.000000000,,,2,2024
DMA,2024-04-01,ad_chronic,0.000000000,,,1,2024
DMA,2024-07-01,ad_chronic,0.000000000,,,2,2024
ESP,2024-07-01,ad_chronic,43144.000000000,,,2,2024
GNB,2024-04-01,ad_chronic,21088.000000000,,,1,2024
HKG,2024-04-01,ad_chronic,950.000000000,,,1,2024
HND,2024-04-01,ad_chronic,1185.000000000,,,1,2024
HND,2024-07-01,ad_chronic,1185.000000000,,,2,2024
IRL,2024-07-01,ad_chronic,3763.000000000,,,2,2024
IRN,2024-04-01,ad_chronic,0.000000000,,,1,2024
KGZ,2024-04-01,ad_chronic,134.000000000,,,1,2024
KNA,2024-04-01,ad_chronic,0.000000000,,,1,2024
LAO,2024-04-01,ad_chronic,28.000000000,,,1,2024
LVA,2024-07-01,ad_chronic,14.000000000,,,2,2024
MDA,2024-04-01,ad_chronic,636.000000000,,,1,2024
MDA,2024-07-01,ad_chronic,501.000000000,,,,
MEX,2024-04-01,ad_chronic,1063755.000000000,,,1,2024
MNE,2024-04-01,ad_chronic,16.000000000,,,1,2024
MNE,2024-07-01,ad_chronic,4.000000000,,,2,2024
MSR,2024-07-01,ad_chronic,0.000000000,,,2,2024
NER,2024-04-01,ad_chronic,346.000000000,,,1,2024
OMN,2024-04-01,ad_chronic,27.000000000,,,1,2024
OMN,2024-07-01,ad_chronic,6.000000000,,,2,2024
PAN,2024-04-01,ad_chronic,878.000000000,,,1,2024
PAN,2024-07-01,ad_chronic,138.000000000,,,2,2024
PER,2024-04-01,ad_chronic,24619.000000000,,,1,2024
PNG,2024-04-01,ad_chronic,0.000000000,,,1,2024
PRT,2024-04-01,ad_chronic,13972.000000000,,,1,2024
PRT,2024-07-01,ad_chronic,14282.000000000,,,2,2024
PRY,2024-04-01,ad_chronic,3847.000000000,,,1,2024
PRY,2024-07-01,ad_chronic,21830.000000000,,,2,2024
PSE,2024-04-01,ad_chronic,0.000000000,,,1,2024
PSE,2024-07-01,ad_chronic,0.000000000,,,2,2024
SEN,2024-04-01,ad_chronic,550.000000000,,,1,2024
SEN,2024-07-01,ad_chronic,669.000000000,,,2,2024
SLV,2024-04-01,ad_chronic,1245.000000000,,,1,2024
SLV,2024-07-01,ad_chronic,1464.000000000,,,2,2024
SMR,2024-04-01,ad_chronic,13.000000000,,,1,2024
SMR,2024-07-01,ad_chronic,13.000000000,,,2,2024
SYC,2024-04-01,ad_chronic,0.000000000,,,1,2024
SYR,2024-04-01,ad_chronic,305.000000000,,,1,2024
TCA,2024-04-01,ad_chronic,0.000000000,,,1,2024
URY,2024-04-01,ad_chronic,28168.000000000,,,1,2024
URY,2024-07-01,ad_chronic,11873.000000000,,,2,2024
UZB,2024-04-01,ad_chronic,0.000000000,,,1,2024
UZB,2024-07-01,ad_chronic,15944.000000000,,,2,2024
AFG,2024-04-01,hcw,2990.000000000,0.002997437,997519.000000000,1,2024
